###################### UltraGCN ######################
Loading Configuration...
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'uu_neighbor_num': 10, 'model_save_path': './ultragcn_ciao.pt', 'max_epoch': 150, 'enable_tensorboard': False, 'initial_weight': 0.0001, 'dataset': 'ciao_social', 'gpu': '0', 'device': device(type='cuda', index=0), 'lr': 0.001, 'batch_size': 1024, 'early_stop_epoch': 15, 'w1': 1e-08, 'w2': 1.0, 'w3': 1.0, 'w4': 1e-08, 'negative_num': 800, 'negative_weight': 300.0, 'gamma': 0.0001, 'lambda': 0.0, 'eta': 0.0, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 7375, 'item_num': 105114}
Total training batches = 222
The time for epoch 0 is: train time = 00: 00: 18, test time = 00: 00: 08
Loss = 1045.14868, F1-score: 0.000052    Precision: 0.00005      Recall: 0.00005        NDCG: 0.00006
The time for epoch 5 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 90.62766, F1-score: 0.018936      Precision: 0.01281      Recall: 0.03631        NDCG: 0.02964
The time for epoch 10 is: train time = 00: 00: 18, test time = 00: 00: 08
Loss = 109.09061, F1-score: 0.019150     Precision: 0.01296      Recall: 0.03669        NDCG: 0.02962
The time for epoch 15 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 114.68416, F1-score: 0.018949     Precision: 0.01281      Recall: 0.03636        NDCG: 0.02971
The time for epoch 20 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 119.59175, F1-score: 0.019150     Precision: 0.01292      Recall: 0.03697        NDCG: 0.02965
The time for epoch 25 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 114.53762, F1-score: 0.018919     Precision: 0.01279      Recall: 0.03630        NDCG: 0.02901
The time for epoch 30 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 111.04393, F1-score: 0.018888     Precision: 0.01274      Recall: 0.03652        NDCG: 0.02949
The time for epoch 35 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 107.04874, F1-score: 0.017860     Precision: 0.01195      Recall: 0.03538        NDCG: 0.02825
The time for epoch 40 is: train time = 00: 00: 18, test time = 00: 00: 08
Loss = 98.50201, F1-score: 0.018878      Precision: 0.01273      Recall: 0.03650        NDCG: 0.02920
The time for epoch 45 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 93.97462, F1-score: 0.018641      Precision: 0.01260      Recall: 0.03584        NDCG: 0.02914
