###################### UltraGCN ######################
Loading Configuration...
load path = ./ciao_social_uu_constraint_mat object
load path = ./ciao_social_uu_neighbor_mat object
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'uu_neighbor_num': 10, 'model_save_path': './ultragcn_ciao.pt', 'max_epoch': 150, 'enable_tensorboard': False, 'initial_weight': 0.0001, 'dataset': 'ciao_social', 'gpu': '0', 'device': device(type='cuda', index=0), 'lr': 0.001, 'batch_size': 1024, 'early_stop_epoch': 15, 'w1': 1e-08, 'w2': 1.0, 'w3': 1.0, 'w4': 1e-08, 'negative_num': 800, 'negative_weight': 300.0, 'gamma': 0.0001, 'lambda': 0.0, 'eta': 0.001, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 7375, 'item_num': 105114}
Total training batches = 222
The time for epoch 0 is: train time = 00: 00: 20, test time = 00: 00: 08
Loss = 920.86438, F1-score: 0.000039     Precision: 0.00003      Recall: 0.00004        NDCG: 0.00003
The time for epoch 5 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 102.35160, F1-score: 0.018809     Precision: 0.01272      Recall: 0.03609        NDCG: 0.02984
The time for epoch 10 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 105.34220, F1-score: 0.019201     Precision: 0.01299      Recall: 0.03680        NDCG: 0.02996
The time for epoch 15 is: train time = 00: 00: 20, test time = 00: 00: 08
Loss = 113.75313, F1-score: 0.019102     Precision: 0.01294      Recall: 0.03650        NDCG: 0.02966
The time for epoch 20 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 116.60402, F1-score: 0.018686     Precision: 0.01264      Recall: 0.03579        NDCG: 0.02931
The time for epoch 25 is: train time = 00: 00: 20, test time = 00: 00: 08
Loss = 116.08607, F1-score: 0.018975     Precision: 0.01280      Recall: 0.03666        NDCG: 0.02945
The time for epoch 30 is: train time = 00: 00: 20, test time = 00: 00: 08
Loss = 119.32691, F1-score: 0.018752     Precision: 0.01264      Recall: 0.03633        NDCG: 0.02928
The time for epoch 35 is: train time = 00: 00: 20, test time = 00: 00: 08
Loss = 106.54964, F1-score: 0.018424     Precision: 0.01239      Recall: 0.03588        NDCG: 0.02945
The time for epoch 40 is: train time = 00: 00: 20, test time = 00: 00: 08
Loss = 101.00603, F1-score: 0.018534     Precision: 0.01249      Recall: 0.03593        NDCG: 0.02949
The time for epoch 45 is: train time = 00: 00: 20, test time = 00: 00: 08
Loss = 91.37624, F1-score: 0.018701      Precision: 0.01260      Recall: 0.03623        NDCG: 0.02939
The time for epoch 50 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 85.16609, F1-score: 0.018667      Precision: 0.01260      Recall: 0.03603        NDCG: 0.02903
The time for epoch 55 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 80.44392, F1-score: 0.019049      Precision: 0.01289      Recall: 0.03644        NDCG: 0.02988
The time for epoch 60 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 77.95289, F1-score: 0.019114      Precision: 0.01289      Recall: 0.03692        NDCG: 0.02951
The time for epoch 65 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 69.97253, F1-score: 0.018314      Precision: 0.01237      Recall: 0.03529        NDCG: 0.02857
The time for epoch 70 is: train time = 00: 00: 20, test time = 00: 00: 08
Loss = 68.75658, F1-score: 0.018506      Precision: 0.01246      Recall: 0.03594        NDCG: 0.02799
The time for epoch 75 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 65.53820, F1-score: 0.018755      Precision: 0.01264      Recall: 0.03630        NDCG: 0.02933
The time for epoch 80 is: train time = 00: 00: 20, test time = 00: 00: 08
