###################### UltraGCN ######################
Loading Configuration...
load path = ./lastfm_social_ii_constraint_mat object
load path = ./lastfm_social_ii_neighbor_mat object
load path = ./lastfm_social_uu_constraint_mat object
load path = ./lastfm_social_uu_neighbor_mat object
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'uu_neighbor_num': 10, 'model_save_path': './ultragcn_lastfm.pt', 'max_epoch': 2000, 'enable_tensorboard': False, 'initial_weight': 0.0001, 'dataset': 'lastfm_social', 'gpu': '0', 'device': device(type='cuda', index=0), 'lr': 0.001, 'batch_size': 1024, 'early_stop_epoch': 15, 'w1': 1e-08, 'w2': 1.0, 'w3': 1e-08, 'w4': 1.0, 'negative_num': 800, 'negative_weight': 300.0, 'gamma': 0.0001, 'lambda': 0.001, 'eta': 0.01, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 1892, 'item_num': 17632}
Total training batches = 73
The time for epoch 0 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 9436.42871, F1-score: 0.064899 	 Precision: 0.04826	 Recall: 0.09907	NDCG: 0.08712
The time for epoch 5 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 385.89951, F1-score: 0.066401 	 Precision: 0.04934	 Recall: 0.10150	NDCG: 0.09297
The time for epoch 10 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 212.39445, F1-score: 0.066893 	 Precision: 0.04974	 Recall: 0.10212	NDCG: 0.09336
The time for epoch 15 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 188.60422, F1-score: 0.067562 	 Precision: 0.05026	 Recall: 0.10301	NDCG: 0.09406
The time for epoch 20 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 206.70357, F1-score: 0.066986 	 Precision: 0.04982	 Recall: 0.10222	NDCG: 0.09348
The time for epoch 25 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 193.23854, F1-score: 0.065690 	 Precision: 0.04881	 Recall: 0.10041	NDCG: 0.09116
The time for epoch 30 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 180.95253, F1-score: 0.065592 	 Precision: 0.04876	 Recall: 0.10018	NDCG: 0.09552
The time for epoch 35 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 184.94890, F1-score: 0.066018 	 Precision: 0.04908	 Recall: 0.10083	NDCG: 0.09361
